LABELS

SEPARATOR COMMA

DATA

GCF_023721935.1,Panthera uncia
GCF_008632895.1,Mastomys coucha
GCF_000001635.27,Mus musculus
GCF_900095145.1,Mus pahari
GCF_030254825.1,Meriones unguiculatus
GCF_907164565.1,Psammomys obesus
GCF_000151885.1,Dipodomys ordii
GCF_019054845.1,Dipodomys spectabilis
GCF_024711535.1,Dipodomys merriami
GCF_023159225.1,Perognathus longimembris pacificus
GCF_001984765.1,Castor canadensis
GCF_902686445.1,Sciurus carolinensis
GCF_001458135.2,Marmota marmota marmota
GCF_003426925.1,Urocitellus parryii
GCF_021218885.2,Marmota monax
GCF_003676075.3,
GCF_000247695.1,Heterocephalus glaber
GCF_012274545.1,Fukomys damarensis
GCF_000260255.1,Octodon degus
GCF_000276665.1,Chinchilla lanigera
GCF_034190915.1,Cavia porcellus
GCF_000181295.1,Otolemur garnettii
GCF_027406575.1,Nycticebus coucang
GCF_000165445.2,Microcebus murinus
GCF_020740605.2,Lemur catta
GCF_041146395.1,Eulemur rufifrons
GCF_014176215.1,Rousettus aegyptiacus
GCF_000325575.1,Pteropus alecto
GCF_000151845.1,Pteropus vampyrus
GCF_902729225.1,Pteropus vampyrus
GCF_004115265.2,Rhinolophus ferrumequinum
GCF_001890085.2,Hipposideros armiger
GCF_021234165.1,Pteronotus mesoamericanus
GCF_022682495.1,
GCF_021234435.1,Artibeus jamaicensis
GCF_004126475.2,Phyllostomus discolor
GCF_019186645.2,Phyllostomus hastatus
GCF_036850765.1,Saccopteryx bilineata
GCF_036850995.1,Saccopteryx leptura
GCF_014108415.1,Molossus molossus
GCF_001595765.1,Miniopterus natalensis
GCF_014108245.1,Pipistrellus kuhlii
GCF_027574615.1,Eptesicus fuscus
GCF_000147115.1,Myotis lucifugus
GCF_000412655.1,Myotis brandtii
GCF_000327345.1,Myotis davidii
GCF_963259705.1,Myotis daubentonii
GCF_014108235.1,Myotis myotis
GCF_014570535.1,Manis javanica
GCF_030020395.1,Manis pentadactyla
GCF_000164845.4,Vicugna pacos
GCF_036321535.1,Camelus dromedarius
GCF_000767855.1,Camelus bactrianus
GCF_009834535.1,Camelus ferus
GCF_000003025.6,Sus scrofa
GCF_016906955.1,Phacochoerus africanus
GCF_019923935.1,Bubalus bubalis
GCF_029407905.1,Bubalus kerabau
GCF_000247795.1,
GCF_000754665.1,Bison bison bison
GCF_003369695.1,Bos indicus x Bos taurus
GCF_002263795.3,Bos taurus
GCF_032452875.1,Bos javanicus
GCF_014754425.2,Oryx dammah
GCF_032405125.1,Capricornis sumatraensis
GCF_016772045.2,Ovis aries
GCF_001704415.2,Capra hircus
GCF_042477335.1,
GCF_023091745.1,Budorcas taxicolor
GCF_022376915.1,Moschus berezovskii
GCF_910594005.1,Cervus elaphus
GCF_033118175.1,Dama dama
GCF_019320065.1,Cervus canadensis
GCF_963930625.1,Muntiacus reevesi
GCF_030028045.1,Hippopotamus amphibius kiboko
GCF_028564815.1,Eubalaena glacialis
GCF_009873245.2,Balaenoptera musculus
GCF_949987535.1,Balaenoptera acutorostrata
GCF_028021215.1,Eschrichtius robustus
GCF_028023285.1,Balaenoptera ricei
